match_winner,encoded_teams
Royal Challengers Bangalore,2
Deccan Chargers,8
Kolkata Knight Riders,1
Mumbai Indians,7
Sunrisers Hyderabad,7
Kings XI Punjab,4
Sunrisers Hyderabad,11
Kolkata Knight Riders,1
Sunrisers Hyderabad,11
Mumbai Indians,7
Kolkata Knight Riders,13
Royal Challengers Bangalore,2
Chennai Super Kings,3
Kings XI Punjab,4
Sunrisers Hyderabad,11
Deccan Chargers,8
Sunrisers Hyderabad,11
Kings XI Punjab,4
Kings XI Punjab,4
Royal Challengers Bangalore,2
